"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","gamma.1","gamma.2","gamma.3","gamma.4","gamma.5","gamma.6","gamma.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.197192464972023,-0.169212963113634,-0.196703667805324,-0.065091795392641,0.0125022167012629,0.094962597647409,0.0821839922007828,0.0203118697915905,1.0241713810834,-0.0413537276549049,-0.0404844476323205,0.222617100406405,0.411735506207703,0.598209210326905,0.764499189754623,0.947892847045363,-0.059748131498875,-0.0331532820535619,-0.0498614671023037,-0.0542214132288972,-0.0369048407217431,-0.0144007468245803,-0.00742127961149237,-0.00157087483967613,-0.100730669056052,-0.0295068798191923,0.0255921137483885,0.0744088470770699,0.0339623280182555,-0.0269952763337453,-0.0231498830172097,-0.0160481911219293,-0.0637298640148794,-0.084806937863102,-0.0347700985631248,-0.0168581579569424,0.0341948599471938,-0.0405482210763387,-0.0238402420994494,0.000932537623130577,0.0302712979687294,0.0394749891695895,-8.43372523783005e-05,-0.018049269564677,-0.00159830313071334,-0.0113503168849995,-0.0304408182613244,0.00245649080713853,1.04435006813192,1.05546996278574,0.762796443206215,0.561763850094502,0.369778948116227,0.218430592225023,0.048216592936002,0.214169026228245,0.174988154264089,0.153508476118044,0.133047698155407,0.0972490097552278,0.0725213941843168,0.0445680591113167,0.0115956593625657,23392.5583843638
"2",-0.144490800404236,-0.153412640829364,-0.19104515056069,-0.033011101735941,-0.0095986537952063,0.0939840543370529,0.0871507991620077,0.0195906886411313,1.00915671515359,-0.0822206575231291,-0.0153427864464936,0.255141943192616,0.40045251702892,0.56841591498334,0.771093301834081,0.948511640533536,-0.0696523265192706,-0.050769869690625,-0.0502919619871741,-0.0385259921157335,-0.0306950470747997,-0.0283731809815733,-0.00480912819573499,-0.00163953585296324,-0.0603444974882826,-0.0159582503016707,0.0106212939845646,0.0106927913584897,0.0455084969933774,0.0149970410021068,-0.0281912709788148,-0.0177556137159784,-0.10412796673539,-0.0901174069740552,-0.0555963938972915,-0.0300423049424757,0.0448533526200477,-0.0503972923151688,-0.0284449623142241,0.001488908563055,-0.00240555899460536,0.016188781555277,-0.028150061781743,-0.0222219743261801,0.0111931079271845,-0.0225265713056482,-0.0295945514209828,0.00111470837674431,1.08525467353863,1.03564953068224,0.727564748803542,0.5733862138063,0.400734651318446,0.209696616191788,0.0481853660083647,0.212800539456164,0.180663806036911,0.147425014510157,0.133200041508242,0.101918495844542,0.0779793345221636,0.0442476875848976,0.0117009963172698,23386.6447952828
"3",-0.177132152462235,-0.0768180601787327,-0.164155670025446,-0.0902148047293893,0.0128943390464376,0.131734590216552,0.0736363697140853,0.0186924058479417,1.02222697030935,0.0302585267970328,-0.077596024762164,0.295781204109921,0.433200119066039,0.553530498958699,0.76557919120805,0.943082826400184,-0.060149668224177,-0.0228447300462892,-0.0492349736279047,-0.0438130647796908,-0.0386280544065387,-0.0102274260683618,-0.00662370799296135,-0.00113169248455343,-0.121321450220164,-0.144435631634659,0.0289677429725384,0.0615340640686121,-0.0113984110002642,-0.0312092251947857,-0.00866092079319134,-0.0131951961232842,-0.0751462418430243,-0.08586419675815,-0.0460438491402296,-0.019301721356694,0.0384031753043773,-0.0562741769764137,-0.0213055622983598,0.00307122533711844,0.0230933452313881,0.0281506520983266,-0.00790060074328034,-0.0164737913933169,0.00608850074201937,-0.0224841152074076,-0.0290704993552251,0.0028463772017053,0.958178818376789,1.08453975313285,0.69493154699595,0.543594567071174,0.407651884325357,0.217157806420187,0.0532236606567609,0.208184510907596,0.179698847273299,0.149960278173259,0.129962340048025,0.10379134776913,0.0736785090864305,0.0444357439857894,0.0120298120680745,23391.4895060891
"4",-0.209686701493429,-0.179594948612053,-0.15145281380923,-0.0861300958591644,0.0222955985270179,0.0688062229771011,0.0808491024874904,0.0215394062458121,1.03335905863203,-0.0805243065420201,0.0103185516406637,0.246573698481928,0.415908409000495,0.606665528461919,0.769000452174162,0.948652503828008,-0.0367601185086437,-0.0429907951792542,-0.0410844959997402,-0.0370200357841596,-0.0349020103669811,-0.0146934348535545,-0.00580852684257123,-0.00194183363982302,-0.141496894893447,0.00548167019037083,-0.0228573624216946,0.0592252432280513,0.0228255833930227,-0.00708670514793886,-0.0154709789344974,-0.015762900483914,-0.0839888165626988,-0.0832496597164073,-0.030968329944766,-0.0277972003611053,0.0332588245869871,-0.0447193082162189,-0.0228412558973456,0.00201813579938258,0.0311279257501378,0.0328108537948202,-0.00677320455630799,-0.0199521155373313,-0.0036931267424056,-0.0224299948433176,-0.0312400010359106,0.00239082134082044,1.08333148725558,0.993907526582567,0.746813188900714,0.557398643173754,0.368325426733925,0.212987366061954,0.0469644152969421,0.211683956575773,0.173198372385268,0.157830910528195,0.129692546165463,0.100040527679784,0.0735705702684009,0.0425856320608209,0.0115147228392206,23381.6227592252
"5",-0.187411035338871,-0.236952751218716,-0.27273027589574,-0.117830493939019,-0.0133967725545045,0.0829466306321792,0.0895200444938014,0.0162173715877785,1.03241054952388,-0.00447766849788149,0.0913425764722368,0.278367220395827,0.455657450332762,0.615308972947636,0.757602847032607,0.946910123077453,-0.0168987740373807,-0.0514799424906593,-0.0594513030451531,-0.0556920067767604,-0.0375655592691642,-0.0316894422014891,-0.00361486030567294,-0.00143892335251515,-0.187261081979367,0.0167480585408005,0.115650637564216,0.0947541031597851,0.0177929541070833,-0.0254869362687414,-0.0263279354097401,-0.0143266220737897,-0.0923303782858797,-0.0548696949280102,-0.0110536367959908,-0.0255706345315887,0.0373074744431257,-0.0507104317256024,-0.0217433976716653,0.00268585374579081,0.0171428608063495,0.0486976683193844,0.00747588548450735,-0.0140011457145297,0.0070710500494304,-0.0228889500696148,-0.0287878961814462,0.00221227922921927,1.02290440324681,0.934399755792134,0.721065423030334,0.525885509111206,0.361209200226326,0.223148189097908,0.0502609812601281,0.223122491789609,0.175143410566197,0.145595882867226,0.132430093834534,0.102934782684047,0.0758371916267305,0.044582438332836,0.0116952335229392,23382.2704858798
"6",-0.185153274273978,-0.181772203838601,-0.272182934342834,-0.00982173404871384,0.0247492669936071,0.112565990620281,0.0878556189951788,0.021096314327254,1.0158650807245,-0.020999544748522,0.00768558172374833,0.276831581680623,0.428036247436802,0.606725072833726,0.766869901550895,0.94458759420091,-0.0454139101222174,-0.0417910164889107,-0.0613549575189727,-0.043551782878151,-0.0285081503885472,-0.0160851655354345,-0.00297969401818454,-0.001381798444289,-0.0813211861292101,-0.0726492103789224,0.0981627169235362,0.0126912095012812,0.0175056350060589,-0.0324057983289043,-0.0237290559602685,-0.013984372813899,-0.0592728208522128,-0.0871158147813293,-0.0334428171758539,-0.0310634287179604,0.0344711972591568,-0.048906467004485,-0.025606152609729,0.00151332824646339,0.002570117714686,0.0537504585517135,-0.00636048095478399,-0.0251078237077371,-0.00380666868249882,-0.0217386131439739,-0.0353000546944565,0.00195928484216938,1.03516928702806,1.02521868401383,0.698259428594464,0.540469116075241,0.358315994966669,0.213536719650517,0.0509456323413413,0.215497521277074,0.176213109960714,0.150994008904382,0.134144283406017,0.10439162954956,0.0755423201335684,0.0432305908171621,0.0121662975840764,23387.7276672686
"7",-0.224721135903869,-0.16293057845346,-0.203308342495951,-0.0364169759286326,-0.00750047276061336,0.113979288077245,0.0781579301125636,0.0192512033900349,1.03500545720979,0.0436638798829891,0.00398725487841467,0.249197456533112,0.429098787495656,0.589656976679997,0.769911502905971,0.949412534875552,-0.039786793979173,-0.051503864765167,-0.0675258699366859,-0.0420947373078382,-0.0300008638543827,-0.0235070783229634,-0.00426143540791535,-0.00305991352759981,-0.122068887475364,-0.00733542604443462,0.0652907493993855,0.00350018867126931,0.0348806836845003,-0.0362797559932125,-0.0217327716588104,-0.0168666751883506,-0.0746450710848804,-0.0945129174695451,-0.0376890907431116,-0.0351449609595878,0.0387839564139933,-0.0551092599753898,-0.0187433064570359,0.00208156566426833,0.0196462673583385,0.031304655646042,-0.0058539992452249,-0.0193733979521731,0.0026743768647941,-0.0252853866092554,-0.0241528910822453,0.00238561707255529,0.961095495577385,1.01091341296966,0.735381778639446,0.545782072613134,0.377581958730529,0.211086473865013,0.0470624906764638,0.213407956363722,0.177394940632704,0.149443664478627,0.131712863801279,0.101549456774715,0.074257667783809,0.045752044339717,0.0118181086508247,23396.9531731302
"8",-0.167675301272274,-0.23094178714334,-0.179013839577565,-0.0687473041953428,0.0285742437311995,0.0933347726659848,0.074639312700087,0.0216670158590035,1.01705271627545,0.0815783002379669,0.016061689492272,0.294203482259848,0.410426906890097,0.585258413778156,0.77374962792066,0.948373622719207,-0.0319510726393675,-0.025856944475263,-0.0550516273274532,-0.0447746388844102,-0.0290125492216571,-0.0235647811059077,-0.0082146617374556,-0.00117994111865536,-0.0813593588639611,0.0621589321537483,0.0472320759233685,0.0637546437170249,-0.00227349983651134,-0.00403420641194978,-0.0138964505415272,-0.0198619943172279,-0.108585628398089,-0.0623618619373862,-0.052770827695178,-0.0266099015831226,0.0333050827221238,-0.056030411684642,-0.019440755520308,0.00020323716711363,0.000108563547589363,0.0447459315587091,-0.0231891291105551,-0.0205798432724762,0.00171246425676697,-0.0257595507437244,-0.030815062698711,0.00103689644807398,0.923818513197134,0.994439437421928,0.693173685228372,0.559063683762655,0.384892879615628,0.210175013724661,0.0478343597142376,0.212243169639083,0.177871705702867,0.149673010745823,0.131556842552754,0.102532985927941,0.0785520710076089,0.0434478529172442,0.0120581226415541,23391.4787655856
"9",-0.180687300320899,-0.244161402070081,-0.203253304925672,-0.0611137941838964,0.047682027326103,0.0528285947922054,0.0802997385362763,0.0233104490598614,1.02339915105037,0.0477059941056485,0.0667133246444672,0.233455722475177,0.392709828703471,0.611958805963149,0.761998953205054,0.944769434135131,-0.0340693643465596,-0.0290121302073129,-0.0503346989036038,-0.0354977717574222,-0.0249293257546466,-0.0187029314962394,-0.00442323550583873,-0.00194503224087329,-0.12128924209095,-0.0272753050979527,0.0528080014323642,0.0644995775659373,0.0303932052429976,0.0459971701431303,-0.0158263475430775,-0.0164594029662954,-0.113797929110501,-0.0643183420958041,-0.0476283610339357,-0.0218542893904753,0.0299012050017681,-0.0455078357571288,-0.0245380440007208,0.00122622317571691,-0.00236983387692574,0.0582849049854979,-0.00321196770213896,-0.0209335705202763,-0.00748060138215928,-0.0216888331628996,-0.0306259631051212,0.00214797686501563,0.975287184244052,0.946805581330407,0.748230739581829,0.568262528798759,0.361914189317762,0.220219388446342,0.0505925716153319,0.213959542966448,0.177234521274602,0.155014996678652,0.129044461744767,0.0995097167989147,0.0758879636637756,0.0449202558169614,0.0117705058700279,23387.2974107974
"10",-0.198792202812388,-0.147620366965107,-0.180234505714295,-0.0791182823526778,0.0096290091851893,0.0713545323743333,0.0754337522909511,0.0192867025674098,1.02307892534615,0.171657697503568,0.0259095005692833,0.278013900675119,0.426508043219833,0.599893795337083,0.759350442828498,0.951100669105593,-0.0478404690037023,-0.0480293842204191,-0.0414622524390522,-0.0558070381202173,-0.0320476014936537,-0.0225201870737163,-0.00644157165865604,-0.00328647422649898,-0.0903386463053555,-0.0405148303219642,0.0312440906174546,0.0546123479460373,0.0261083623885615,0.00712936413912604,-0.0104386272984884,-0.0146767737552348,-0.084991204202223,-0.0924182517631139,-0.068519501948434,-0.00941022327577419,0.0251031581888787,-0.0535787683700169,-0.019560596879064,0.00144618629929017,0.0236748603321515,0.0333984640882799,-0.0261005126413327,-0.0198071171531284,-0.00633252098030068,-0.0245106304011843,-0.0268608455765144,0.00144663086070826,0.82835842395022,0.986698852732723,0.712906525516988,0.54877521787534,0.375681352382969,0.223759297818629,0.0454455312632466,0.21907014201062,0.175877590440113,0.151913272579289,0.129434456512652,0.101367406218303,0.0762616794811719,0.0453168031693668,0.0116233524144448,23386.7787599996
