"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","gamma.1","gamma.2","gamma.3","gamma.4","gamma.5","gamma.6","gamma.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.222287542620551,-0.20400497074851,-0.150957716265322,-0.0255833037967919,0.0614881001967994,0.0953217896408431,0.0763655491126336,0.00794188091645206,1.01158475572364,-0.0081891385915788,0.00500466910240655,0.331440467623245,0.400873132640836,0.570276377471739,0.765324579203008,0.948000022760601,-0.0933914506788692,-0.0739008473010841,-0.0479509597626216,-0.0510069387756943,0.0279018054178865,-0.0604117090370324,-0.0271738978860144,0.00302797076208656,0.00916432879332092,0.0423307049484446,-0.00718850931455082,-0.0347758692269268,-0.0121000206489763,-0.0287780850069564,-0.0321686820771851,0.00267622424905869,1.00974396565433,0.991989552179448,0.644829925125739,0.554697096692715,0.396814151129015,0.215142468352355,0.0494486201594489,0.214996560596629,0.175496344654101,0.14818963050202,0.12994952936924,0.101318602050506,0.075046400254177,0.0431490967975743,0.0121144892560483,23288.5408097861
"2",-0.290268929782743,-0.194523202607014,-0.126398901898462,-0.0163417478420752,0.0296286835530707,0.0824774941171773,0.0686765713704326,0.0123628821567798,1.03227425637215,0.120950216022169,-0.133635641154626,0.229848761183998,0.405064334812075,0.59569086109072,0.764472270372894,0.945807813091336,-0.086007423561628,-0.0775257244308771,-0.0407138125373073,-0.0329180864022825,0.0442349482881498,-0.0567620244282762,-0.0227202467808763,0.00318379030091805,0.0210522525286812,0.0475718526110456,-0.0126785687293665,-0.0260268016719547,0.0111914490821515,-0.0185522522571905,-0.0324587294254882,0.00271265693810972,0.877348512580544,1.12280153133114,0.742442516046374,0.55782914098703,0.373448265298106,0.217989184964256,0.0503341575013039,0.207194450080786,0.17736558951284,0.152507405531157,0.125503639707787,0.101496930381097,0.0772799939027103,0.0441682224535274,0.0116880993560002,23282.5273163823
"3",-0.211021064951634,-0.197267222642762,-0.116080022125378,0.0167386005176171,0.0341422305070792,0.127496494511881,0.0681191427075166,0.0128698589703042,1.0086077628467,0.0522172274146559,0.0368239402939172,0.202776958153075,0.398800410153341,0.548673121593178,0.75892971853867,0.944953954662365,-0.0937499838795241,-0.0817542890300683,-0.0582885911005481,-0.0363259423904712,0.0240364629463064,-0.0660615931353604,-0.0186660723577787,0.00281709270366885,0.0291025017820575,0.0263818011415793,-0.0246452528285765,-0.0333384957527512,-0.00536374024322092,-0.0349719058240994,-0.0314024847501582,0.00265716350950085,0.953329251469468,0.951642411684464,0.759865573327653,0.564662789444205,0.409322680453062,0.223462751307869,0.0510939329500442,0.214442116314369,0.176467908423391,0.161708673777127,0.128858273615685,0.102406933831003,0.077928835360557,0.0440805878549235,0.0122520182273111,23281.3552173074
"4",-0.211413603169657,-0.162448115489568,-0.166385376998167,-0.018307309619243,0.0369191976817906,0.105186583015053,0.062602819836333,0.0117233191406514,1.00970363693839,0.0268461472235777,0.068375720093518,0.250062950292412,0.415000408748604,0.587894564649894,0.764558217557977,0.947734121035635,-0.0872584581571125,-0.0905234566888258,-0.0489502029809144,-0.0321516162754247,0.0180831754124635,-0.0578208528357434,-0.0255038197780466,0.0018338316344824,0.00375486996872059,0.0376959487477288,-0.0158588893209919,-0.018112149283877,-0.00711896716475005,-0.0271071961774818,-0.0338759982592899,0.00247601716522713,0.967547770000327,0.93502093998529,0.720622103113748,0.547687269382096,0.374692332959323,0.220295045187235,0.0484533737116732,0.218411148868226,0.1810242626636,0.150823181153088,0.130047919986084,0.103454601094021,0.0755240476341113,0.0448010619031342,0.0121019880061608,23291.3976831138
"5",-0.141774830851244,-0.166808721447579,-0.126901795513941,0.000259436535240624,0.00422986144012418,0.0919326561114477,0.0769508715616173,0.00639215592080815,0.992760598084628,0.0837918519767218,-0.0629166906926212,0.212965647624996,0.456898359721768,0.58957579971433,0.77017363076748,0.948775818899341,-0.119467843874557,-0.0902446077088268,-0.0406299930565165,-0.0391910041202407,0.028030410079099,-0.0541340451545435,-0.0280798622723965,0.00438364020332781,-0.0204811955600101,0.0250790002661756,-0.019831543912085,-0.0345213486131076,-0.0123503428605143,-0.0191522964612175,-0.033468705474702,0.00320153618409082,0.91077671093337,1.05181123154539,0.753711555966122,0.51485699308487,0.375868913314165,0.210403303465178,0.0488477738681599,0.217092486750713,0.174326251880797,0.149894223162475,0.133120067143256,0.101076804807433,0.0776883221378792,0.0448442363563389,0.0117949439679625,23281.0904693304
"6",-0.245999697593405,-0.219089042684793,-0.168724097754096,-0.0644480493021339,0.049282247407728,0.0693516461567459,0.0640859514445181,0.00790855989921791,1.01701121503549,0.194475839366982,-0.0313518211614681,0.237139258120384,0.433249526492734,0.58053370933372,0.757490561071374,0.948704667997965,-0.0827534221834978,-0.0850952518557629,-0.0331629987230346,-0.0225231574257146,0.0220712071662396,-0.0462970057168463,-0.0213598861342644,0.00379828398357475,0.0171405849233116,0.0539267076249411,-0.0114359173366347,-0.0194540406306138,0.00618860824686882,-0.0116717353021565,-0.0317777358126312,0.00216135018138814,0.813117506989789,1.03234241470481,0.748943404464004,0.52492688286243,0.390586553797121,0.227093977374049,0.0488358387231856,0.210918920453662,0.174444249816449,0.148013048554682,0.132754227585992,0.104098355801512,0.0775246140600855,0.0453466327482556,0.0123186329249897,23275.5644716554
"7",-0.264672646203556,-0.159715686161408,-0.145859419055891,0.00232821062247273,0.0459056301406556,0.149443176888947,0.0669684650686052,0.00838776897357804,1.02548421219617,0.0559544951874429,-0.0234245333734737,0.247661951817932,0.384455571257327,0.54729296963989,0.766253039312612,0.950444355590668,-0.0952618052733289,-0.0806554806784768,-0.053443404107419,-0.0404953175563617,0.0318965005326553,-0.0640125324358779,-0.02174569939049,0.00176042079756854,0.000595601865500391,0.0381198053445495,-0.0201304987872913,-0.0273889063870418,-0.006462545840756,-0.0318811371568775,-0.0244822987673494,0.00192449096126422,0.935294750166074,1.01821630847727,0.719615100714019,0.576498767379088,0.402772340923414,0.216209856469167,0.0468173753437275,0.220476822902138,0.175635207144287,0.15331079881497,0.128510440867979,0.105742669972776,0.0743298940843393,0.0455357751778444,0.0123703315544419,23280.350149591
"8",-0.171944884665046,-0.202016636021638,-0.129171720678267,-0.0449540015886842,0.030199594953045,0.0805302186339629,0.0749044448115614,0.015393060564085,0.99714562321745,-0.0803688295257441,0.0200678380717554,0.266819144432182,0.380209725815323,0.563085811088072,0.766120225708544,0.944673526520094,-0.103143046483407,-0.0798134533439013,-0.0499611800778209,-0.0330758449945614,0.0387845560476662,-0.0502952559020448,-0.0211513103050766,0.0012027801395134,-0.00413259947504799,0.0515683768885587,-0.0125561852756655,-0.022501995074465,0.00394204508835783,-0.0309928788741833,-0.0289674094097506,0.00103374639955014,1.082145511063,0.970123994446972,0.713288148834954,0.583603102654516,0.408146050521903,0.213960143577056,0.0506189116491031,0.213163199115642,0.176254335433283,0.149548239954892,0.130968856886729,0.100257734737836,0.0777983467368943,0.0451839196059765,0.0120415917763102,23286.5311652395
"9",-0.241322530075786,-0.170788605048015,-0.111855881565197,-0.0280798465432431,0.0197963644827982,0.0998147131221059,0.0711285652346014,0.0130806955666168,1.01913205824665,-0.0553122134451392,-0.0404537622202735,0.242107361917665,0.399770155181552,0.562258862197674,0.765968224914528,0.944787039103878,-0.0984950150845102,-0.0817037300651992,-0.055396535042386,-0.0283211620541941,0.0396876633018265,-0.0518063300751716,-0.0232332278298636,0.00209734716120807,0.00633475121475154,0.0488565475685043,-0.0290690167444925,-0.0154399723032456,0.00305289654732337,-0.0234652233219107,-0.0271030932289481,0.00199693022823065,1.05038308693742,1.02694343754096,0.731924443295391,0.567698654947018,0.402525561440226,0.215051203158162,0.0511635508212454,0.209957598456531,0.181826871373059,0.150674752357047,0.132903966598872,0.100667001137146,0.0784229502895648,0.0441209197643845,0.0120248119529259,23294.2346534738
"10",-0.245306483032653,-0.157910451172317,-0.135525983913328,-0.00154740419871417,0.0127863342737729,0.0908900597492708,0.0631777186207505,0.00855444312702412,1.01797456044073,-0.07953471539616,-0.109094830068376,0.191515337130599,0.415322449807312,0.595435114656101,0.774880813240982,0.948612875161628,-0.0869848245243209,-0.0878091898432824,-0.0442344190760793,-0.0360987989315848,0.0368908595394923,-0.0486746334840566,-0.0181390414927796,0.00370824404469864,0.0286356517035973,0.0306834523847723,-0.0260020891178493,-0.0210571292541643,-0.00906620690646682,-0.0185698467814623,-0.027675338411189,0.0023515963045942,1.06908312096019,1.10349293656318,0.776815749201393,0.555199651876304,0.369576615633538,0.207509740591153,0.0485487690893085,0.216262696232346,0.173739640740179,0.154978053300316,0.131672071574466,0.0993541798406108,0.076600446766733,0.0446768933884351,0.0120132916414231,23287.5413887976
"11",-0.205626823016124,-0.18046750490279,-0.1426843560904,-0.0180886524167975,0.0465649187981869,0.0985891142712509,0.0680721492586019,0.00917845250135215,1.01252761526448,-0.0124211917155851,0.00152151690251915,0.278180398927859,0.385707928583868,0.585374425392232,0.762997347081279,0.948392789461201,-0.0970216099483049,-0.0837550367555106,-0.0516178181559395,-0.0254937205974225,0.0348732281572134,-0.0588751832690898,-0.0218867273942084,0.00302824091038403,0.00339423872834881,0.0413857433682014,-0.0147554859431047,-0.0242237526525908,-0.00546914603596386,-0.0285549723050644,-0.0310816750931541,0.00250680169879311,1.0093310147792,0.995029126966768,0.692853114070654,0.574505319689226,0.378394589468557,0.220031665025954,0.0487533924183218,0.21951982677136,0.178086259532775,0.155573273431428,0.129104901311675,0.102266803490511,0.076731807929653,0.0448685890480524,0.0122210161835247,23293.0783299387
"12",-0.256190493333492,-0.184448753477172,-0.183468330367617,0.0412639425276763,0.00738201028914699,0.0920924505672024,0.0701241088652841,0.00917337857010854,1.02172825998776,-0.158615804827437,-0.0010926809161469,0.211276112581425,0.417740738678913,0.567631650889125,0.773908238560595,0.948653537485712,-0.09417143766605,-0.075200798618387,-0.0388441204124413,-0.0525367516339338,0.0276338977997877,-0.0555759317670774,-0.026730789907988,0.00250172359064518,0.00540503685571194,0.050534961501948,-0.0178484166514537,-0.0452904332664433,-0.00528432143409408,-0.0266399379633035,-0.0295739660466777,0.00230833338689325,1.1553613219123,1.00984093531131,0.746362460068915,0.55434272371201,0.399414375664615,0.207776093150648,0.0482933987502447,0.211808756181359,0.175146148013585,0.150774222756142,0.127685021043896,0.104970727842912,0.0759638509644981,0.0442167526182786,0.0120532381014578,23286.5130829501
"13",-0.214193387483161,-0.166439423466137,-0.165697729714996,-0.0175127561312929,0.0221840126747878,0.11118894317287,0.0844700555467258,0.0114565950646673,1.00781143276766,-0.0390558548001806,-0.107487319367568,0.227369127404671,0.395136667146563,0.567327193588149,0.760080802996288,0.944931241266271,-0.075999949342524,-0.0808324715752955,-0.0403723852996441,-0.0274449265536897,0.0303935827175497,-0.0558909656100501,-0.0247131646966266,0.00278057382039078,-0.00149502245876198,0.0475784508826291,-0.00581573264258658,-0.0217515211229991,0.00468569690606461,-0.0248135172719277,-0.0322904763484556,0.00288849854161124,1.03374039485892,1.10770740356096,0.745195000116951,0.571876112905724,0.392099915678147,0.21773896893248,0.0516969936681657,0.215950727793713,0.180696518719523,0.14949776280472,0.131156446787182,0.105144242267447,0.0746665343024695,0.0445482110759715,0.0120065465622447,23289.0147906013
"14",-0.245527529136371,-0.205988218402392,-0.148714591569282,-0.0695595835569201,0.0428966649313405,0.0904078730167463,0.0685500528670884,0.00904771068886857,1.02103173517676,-0.0925426453208046,-0.0456297297659065,0.22515363384996,0.396135846887013,0.575843234636117,0.772092383039279,0.944988243300489,-0.0975721735181474,-0.0775599365020034,-0.0379232963619667,-0.0222131770474608,0.0423777524360718,-0.0548940588395724,-0.0215282364936681,0.00302396933871333,0.0083253462180836,0.0542500786478351,-0.0138978634393548,-0.0196451587548647,-0.00403064748186912,-0.0221958373941367,-0.0281590343299855,0.00388416281667514,1.09830113667131,1.03823541656289,0.760585592746539,0.563326044885906,0.390494862315329,0.210092731746495,0.0521189016463783,0.211874190319954,0.178588405382218,0.151453096456504,0.133936210220686,0.105917058777007,0.078140325247302,0.0448312192587637,0.0120494262578667,23282.739110521
