"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",-0.600393312241906,1.03243295956847,-0.0240768793226267,0.907713572370207,0.151464108377177,-0.0594767263840561,-0.0660987528158094,0.00204722233955287,1.08229797325673,0.651880428076834,0.851350395990971,0.632120737430412,0.940969021132592,1.00237640150097,1.00301492710676,0.997744433219272,0.218142722029311,0.16789325710273,0.121468136886068,0.0787612378983544,0.171776585892408,0.0220899484864614,0.0643944064915725,0.0164088914382994,74.6751890814393
"2",0.297369958655617,-0.484485496155941,0.67244402606261,0.727497828172682,-0.0360280518902389,0.042018471239325,-0.0858242138593973,0.0155866845167532,0.859646520459041,1.06623099314617,0.709990569144444,0.707307993763617,0.987364533818276,0.980186967888931,0.997473389548452,0.992951568709612,0.225721865289786,0.149908976840336,0.208476308925576,0.112240249278915,0.107859403659749,0.0373894860107954,0.0646744685449729,0.00746748205311727,81.554053091853
"3",0.778177172830813,0.154409315876069,0.144636998090882,0.911741701632022,0.121118342498406,-0.0759663287309006,-0.081599481079293,0.01354527242118,0.682168119668636,0.919760617732183,0.912174018816808,0.603488740813049,0.90545063100795,1.00320277912687,1.01047560106406,0.993509600902478,0.254419356666847,0.241370983862453,0.512708607923266,0.259842830089102,0.100942632823443,0.170879710360719,0.0622327886545963,0.0204855953687981,69.6430311815124
"4",0.527146436945796,-0.369311357766108,1.98557451483883,0.997034356134196,-0.0783147610803388,0.081742390128007,0.0104114176568489,0.0214773739830185,0.800191418352334,1.06178260415905,0.336380159842652,0.619265795289314,0.991501301809544,0.959224500321013,0.98441573964139,0.993396140023294,0.148940470157942,0.109465364491516,0.122077716501269,0.0383658389757848,0.107587244470233,0.0329801802575938,0.0441437712558925,0.0183828416697582,83.7699014001701
"5",0.422700130493605,-0.396575597746006,0.578910832410603,0.412686874433735,0.231966008586324,0.0291311060673811,0.199096595137086,-0.109039992821198,0.824233076090466,1.05507285431734,0.691201743285778,0.851941894240292,0.877236638719971,0.98050918895532,0.912158444176706,1.02824945183465,0.163436467099421,0.436969231194932,0.191075355764674,0.297775948576792,0.142755366362713,0.0219631350085855,0.0608175961024633,0.0284844156491657,74.4534453749732
"6",0.812794685995322,-0.0235872453632193,0.847078485862231,0.977260891154703,-0.215251057029576,0.311185414398002,0.00707620060062353,-0.0206933963620044,0.730078055526452,0.974035719597157,0.549901865276393,0.622085147408723,1.030308250929,0.892960557558363,0.978951354402645,1.00001409582656,0.185977180386359,0.187059666851088,0.336015531617881,0.173042642844435,0.107835890700164,0.1022224291091,0.0350613731624171,0.0219802954300056,76.8132768670823
"7",0.378685483775736,-0.0368232525869384,2.37678285865711,0.97885585286627,-0.0257587931348314,-0.0935456344039063,0.0754875324609443,-0.000387960770124701,0.781278547395319,0.927435497461323,0.181668272637983,0.601137492642742,1.0016816341852,1.01911023636961,0.96382126777483,0.99797636084539,0.275236090697535,0.261771782800539,0.3123658122385,0.082882860077525,0.155678234674362,0.0193159252777725,0.0535997504522301,0.0146936391208355,77.504478597307
"8",-0.0524878647168175,-0.387354289133913,0.499006610732952,1.13260925638969,0.583567706757763,-0.0702298533558036,-0.108219735750087,0.0161851999476661,0.94697904473095,1.04843657948432,0.806529168114744,0.579361349598491,0.810640476123321,1.00745790882986,1.00662333143406,0.993640280424405,0.199938259077756,0.140730472364004,0.576292898898474,0.0608103302668089,0.170916798038725,0.0126081334010689,0.0468783956981156,0.0149792363007746,81.9230473968093
"9",0.593543536089366,-0.0550919852232726,0.140521296476884,0.849023043808055,-0.309758790844769,-0.0499603154383004,0.0921311903436991,0.0176275718904754,0.779978554378867,0.965872425979602,0.791228315461631,0.655681587542058,1.11001974919618,0.996426308807096,0.960819063926298,0.992598514479159,0.238569392865327,0.288286123700919,0.226376533630052,0.0552968654113196,0.139937287875932,0.0358876179721759,0.0421375963693926,0.0139054578359605,80.0438481614708
"10",0.239986592664889,-0.137914124322525,1.59094045699945,0.909473488402794,-0.0178751305681562,-0.142521337480718,-0.0506487156896067,0.0194922301063606,0.888294731563496,1.03448852383137,0.369310741230356,0.66003071478639,0.984630676210181,1.03363536460165,0.99627729748621,0.992725638710571,0.17425913336874,0.241680372319679,0.378576749108088,0.0484072728760967,0.0965596285610409,0.0158017946269456,0.0569106776625332,0.0100218954477676,84.8059359835981
