"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",0.447376559698128,-0.357491687900719,-0.260223415935667,0.749043627733221,-0.688018295853292,-0.0424326553926,0.0922435756146182,-0.339121561852125,0.738435933257805,1.01279826532874,1.00440623391124,0.608523117970658,1.2363956769831,0.937766517290218,0.951524301270965,1.12055554944527,0.0905145802439062,0.206918532736116,0.231705589754952,0.188542217642051,0.0530853731411513,0.26554917422414,0.068162317976841,0.0651686018961056,63.033684788637
"2",0.512505418096567,-0.39809518142911,-1.20928313721237,0.02884929015077,0.0286495658159796,-0.0209860187681453,-0.04395473200004,-0.183679040524853,0.712166380912196,0.988932523133582,1.25634762791225,0.907012175391897,0.904223452366747,0.941235782996024,0.996279941026724,1.0536753851475,0.159285221128015,0.39961012657782,0.174884311591651,0.101486661914575,0.0655842581702745,0.109513373002949,0.0750804397066753,0.0461313176303955,66.7781481555705
"3",0.0797264664141393,0.579401640428498,-0.570852609965311,-0.678140425239569,-0.382683089852258,0.663723251777994,-0.00911063642462487,-0.365994854113412,0.86964076902889,0.726603635790622,1.06819114460156,1.22711961136543,1.0895119627414,0.664511553121174,0.964376010192226,1.12427835887526,0.135627127725802,0.279873880877396,0.224897349349336,0.321065467755693,0.0778532411614935,0.0509880595979011,0.106699429814375,0.0546444903871457,59.0238409419799
"4",0.0648817387856667,1.29514859405701,-1.26245730684868,0.496929295241482,-0.00272271988754827,0.608467948527426,-0.180892778842497,-0.246485269833666,0.876216416977152,0.445053082672432,1.28537645300728,0.718915194413424,0.922075421773687,0.661172503634324,1.02184761754214,1.07370354907264,0.147863090404294,0.246067604704547,0.309365128317739,0.0917825299819166,0.0523377731123187,0.101449484327714,0.134076433617209,0.0216006972952298,60.606218440132
"5",0.10707876006419,-0.491207002453243,-0.700337891294832,0.980189457985699,0.0601727259015433,-0.163199648497259,0.0157153131311117,-0.205622067246506,0.854177683830346,1.03830933526511,1.08752367684165,0.499290786764778,0.898947346175162,1.04991444035339,0.977083038833442,1.06076700833077,0.123953147945056,0.208040844051969,0.265577690160512,0.576980958648748,0.0437921104443209,0.195171011870197,0.094755225886288,0.0503428831530494,62.8169076036723
"6",0.291692686395239,0.427866851890316,-1.19277014902552,0.390872527364469,-0.263403702423897,1.00070966305046,-0.00591128852406417,-0.583485168621884,0.812178091543301,0.79635564123428,1.23696847098196,0.79214016347519,1.03746126029157,0.457927694721046,0.978431207420015,1.19754199522358,0.13479410457822,0.278104795958879,0.188744092677528,0.0944620249087452,0.180632400940187,0.245594897157238,0.0333408932216622,0.045709031932231,59.2790764079764
"7",0.295900191551854,1.28458656632251,-1.13381139813915,1.46721428705682,-0.321576931628845,0.341768703158632,0.107829942745499,-0.593728658558197,0.777071793903257,0.494491248677865,1.25150753370672,0.428220253443441,1.04823894786289,0.809880023170073,0.933062342205075,1.20764912430943,0.129023416367094,0.378639944170951,0.175733167932085,0.617017698986658,0.0753933906505611,0.308593358616088,0.0639491608836863,0.0800656478658653,59.5011221199541
"8",0.447172453587936,0.866146727778614,-1.27318000916673,1.13119661661706,-0.632573331644479,0.413850536231103,0.0870738263044371,-0.514827242330437,0.737433021225167,0.586867090082441,1.25397657843465,0.553833617424125,1.17843414610771,0.783973510669294,0.947730351063523,1.20811761949586,0.0884861591888157,0.180205541232144,0.241529974159052,0.203378308055179,0.112413982336547,0.0661875151364839,0.0589424353264836,0.0847987539108203,59.8841768513824
"9",0.468097167343571,1.72649062595235,-1.23169063591772,0.898656829137846,-0.406032962620413,0.720159472343525,0.104402969006996,-0.243700881970135,0.753763942077389,0.247076135559668,1.31181995397047,0.596735971434332,1.09791008172276,0.610667551425981,0.946482988637042,1.07317926218645,0.0923463537891164,0.401479691025713,0.212662856142697,0.129903707178922,0.0475798773468664,0.11765509566099,0.0428260311874154,0.0281113183030434,61.8677252186199
"10",-0.0659794214539206,0.784432767394109,-0.783907974478061,0.4264125657981,0.0882189706537953,-0.184699254168951,-0.0824841442345026,0.250875353865409,0.921286054028205,0.583004166007492,1.14115673011199,0.735595649167298,0.897657210936174,0.988289850224022,1.02461398130461,0.907473797232616,0.155297103564698,0.160796895278364,0.180690402170602,0.189772265027833,0.105067614954669,0.162611045017394,0.0731841441799611,0.0743093629040389,58.2612400117395
"11",0.238568834504037,0.337462721815197,-0.355280487746063,1.27636820650331,0.0215299516197026,0.312337914195388,-0.07094832547914,-0.194829623675501,0.816453943318946,0.776465398639245,1.00411241341446,0.447025339964335,0.900975952941563,0.68241909154073,0.984487307058616,1.08033461474226,0.111199664520089,0.222929972243395,0.203499207867338,0.193628640698193,0.0529486814609805,0.43676223131539,0.0796757649537566,0.184880056815273,56.3688573044085
"12",0.536884098030784,0.147704951127779,-0.378443763232745,0.333654848184227,-0.659632306683452,-0.0193325954452742,-0.023453818743368,-0.690763554148851,0.697508172815091,0.844668294764487,1.02837816644345,0.820040024343202,1.22765867345902,0.976096501840014,0.986888605131279,1.24119115849092,0.100687940036669,0.214629309097678,0.17288006037733,0.39992182368956,0.058812893834392,0.093938714847507,0.0349733410808416,0.0424621874986238,63.2848431069683
"13",0.499161001601604,0.617481643953596,0.147579983545948,2.0052348288947,-0.233866015785275,0.388966366192712,0.286782910265839,-0.499611368070534,0.695503155929701,0.701840945292966,0.876923481835171,0.157579560886747,1.00674941241258,0.747922654177199,0.875830374856412,1.16937395327477,0.146977027432117,0.224583217352969,0.277955792146039,0.816738523478314,0.0891596429940363,0.067929817970922,0.066801251276304,0.0295030473879079,56.7812942537193
"14",0.373409930818597,-0.00389561135766932,-0.00657621318285525,0.125117203350471,0.108656371726966,0.720688945361145,0.00942090366744479,-0.0174971909626912,0.789000113753496,0.8846702352395,0.874327650638922,0.839558710607369,0.863516803153925,0.65155856278818,0.960817391068866,1.00110709766444,0.122381279349189,0.174005403142956,0.213194347307849,0.105827740829203,0.0842679107829299,0.0802735225887856,0.0588108973052336,0.0499726986498381,61.7072330002733
"15",0.40838971430244,0.65680546301743,-0.472666875553713,-1.01001343635499,0.0376123477772799,0.438784765871144,-0.0576848602105159,-0.0513097117348739,0.759286141699901,0.671448815888853,1.06383228427584,1.2613347801045,0.885620230416581,0.76141304296992,0.982900633138151,0.971510698526247,0.0869516077939747,0.312843956720461,0.30464296186405,0.216898554158565,0.109500023439378,0.0792973995788773,0.0736945198271142,0.214379886245655,57.2671325489729
"16",0.290258341491895,0.167811287529743,-2.00183741403354,0.0103524784409124,0.132880756154052,0.662897970342175,0.120864579223766,-0.0726912657776184,0.797204153455434,0.847316679077002,1.49226162615101,0.961641858913258,0.885020014915452,0.62711238208252,0.920408323054046,1.01228438696539,0.115349641601727,0.188583807186277,0.230168414144629,0.366495982756792,0.0511221819513171,0.113959086860595,0.143182358931167,0.0300635264337583,58.3616741005049
"17",0.204814457465207,0.219635482149558,-1.17396683597849,0.167028177205953,-0.645776109376883,0.299066831489322,-0.25671410176102,-0.280168746604075,0.81303733244469,0.826619404093858,1.24752090882635,0.871162067152347,1.2036130492591,0.820641917638999,1.07462741258535,1.09141144596408,0.107561528404475,0.256901980147352,0.198975933892276,0.127929934400931,0.0782929742169172,0.0963109739728988,0.164135689771319,0.0364632313689206,65.7085701303693
"18",0.74102967068233,0.195778660456906,-0.563686377840492,0.237522472477771,-0.775908002451351,0.395731152089119,-0.0248555471853783,-0.33223115793407,0.640101417913062,0.79201323462142,1.09153573975978,0.816220435635409,1.24945087789813,0.779162087926414,0.990485149908182,1.10922556023444,0.118426183741763,0.189183988648319,0.256324523183433,0.287787274824098,0.14774996867295,0.0671466993680738,0.0809285627086322,0.0538692916541117,63.8542165055444
