"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",1.05998638486948,-1.60522031361728,-0.815463130651741,2.08213521948602,-0.0365648976982309,0.492077033655878,1.01146377283493,-0.112783353428541,-1.11539976219565,1.09013159384344,-0.664176695652491,-0.108179152213095,-0.143187864004036,-0.0460070224434051,0.95950258048271,0.937787457437551,1.82247291345225,0.314419371202933,2.03693315675185,0.580622831393368,1.13892874455947,1.03346954109145,-0.201139600228928,0.0668254013393502,0.440432861693699,0.544061172586088,0.825129205138059,-0.257532178773713,-0.0904725717358711,-0.0420087602854504,0.109692782457119,0.00184028204195279,-0.0103410815593465,-0.0177409815580873,-0.0387446980546173,-0.00755353461928412,0.000480087695988165,-0.00803943058369784,-0.00959977099435488,0.00209072247833658,0.252182996002518,0.167013535049171,0.233953306413144,0.0941812337671855,0.0424936733124358,0.104426322896826,0.0198038220398918,0.0257397184349666,73.2807868574183
"2",0.832253100988519,-1.43178945140618,-0.474781710145157,-0.681570486666099,1.09774033520084,0.266996999207532,0.616524154168746,-0.0784054281735594,1.37437673470781,0.869030026758811,0.733632693192088,0.585902630981252,-0.298938858341695,-0.125216780292406,0.866452605702907,0.957269376095873,-0.733475691682697,0.514748608828278,0.670738927910844,0.417552228311079,1.0451081666536,1.19624269490689,-0.0131986481786032,0.0573404026909552,0.123235906591594,0.352981275712777,0.666665554691137,-0.341201853192876,0.1101792638538,0.162639187948028,0.0632026677824641,-0.0109523245247572,0.00308050033508042,-0.0138095245008417,-0.037957341530451,0.0161659505681335,-0.0076598333903077,-0.00989655371400687,-0.00588550888538788,0.000731545318529487,0.29007608518186,0.159705137337123,0.399330849859442,0.0920365206418095,0.11186642114347,0.0530469992493855,0.0275607939123205,0.00910496328615035,86.9992471526278
"3",0.0481312932735121,0.763651122959845,0.149589757456841,0.18781785186538,0.705258578433685,1.43127734664912,0.187400121591891,-0.0310326323511718,0.483471124390746,1.06878744571258,1.66761335378155,0.964186846692467,-0.193379028330695,1.18340646399799,0.785368894545274,0.956344067500651,0.690871441330628,0.276967770382509,-0.830786985896801,-0.226626116551625,1.01345968854667,-1.11591938200943,0.174993805346112,0.0431225418519648,-0.334812419095598,-1.69416013518927,0.721439566608696,-0.238272320806856,0.0754858965912692,0.948393103716287,-0.00404612941199909,-0.00192398912318077,-0.013643546472804,-0.0166866909972002,-0.00926612436042873,0.0126932574863763,-0.00488688779519241,0.0273318328314824,-0.00132108922365612,0.000730664423459198,0.260366467349878,0.24323467912886,0.167725645354552,0.0805843174454806,0.0600811387779507,0.686517976418465,0.0285973927716604,0.00412952908209085,81.7579896437206
"4",0.385067757893346,1.24965928265841,-0.526030625477742,0.239369710333901,0.181356815242875,0.200020872709167,0.728841619513779,-0.00217693685909798,0.470215207566526,-0.530669478761314,0.836762596285747,0.824112428825014,-0.543228213564245,-0.378473668343896,0.878987549938549,0.953017286073936,0.481061468067441,1.67697458703432,0.303177452539194,0.0388804192765846,1.49677359770942,1.33285448199539,-0.132199370198365,0.0449474434622781,-0.179471703512064,-1.23533392018657,0.820109499198761,-0.403104453933967,-0.0306025328161594,-0.201627987752405,0.20902418923143,0.00362149604460094,-0.00590512586179229,-0.0212216386416031,-0.0198851009728101,0.00105640740284644,-0.00117541168070477,0.00185612246201574,-0.0025397283667008,0.000123074092932169,0.322585556571227,0.222094018795927,0.234428256511393,0.240155069933407,0.0292694801268171,0.113716323632903,0.143852700199067,0.00240859412757297,81.8238632120824
"5",0.901883824921523,-0.14454141562302,0.5822658213669,0.450256869752622,0.652219185289655,0.387569966624212,0.289768544879962,-0.0255427229462539,1.18363809025104,1.42318081343058,-1.0831270972587,0.765972538320682,-0.0884115865300685,1.24923496565723,0.842768407044462,0.94043803576319,-0.536603407057595,-0.388058336014478,1.65600949351411,-0.0324768451692041,0.97569426593925,0.19974942538562,0.0860152177833287,0.0642620894066413,0.182504497164303,-0.132018773339162,0.778896090204365,-0.13113851005511,-0.0225618218762725,0.0976820900421341,0.0284750171297577,-0.00285583622953605,0.00118659341313451,0.00252937199530499,-0.00319459825647228,0.00529986805636462,-0.00658634946917696,-0.0328089280839179,-0.00284024366926494,0.000363947930780516,0.184571055229468,0.319236463402589,0.394048707803303,0.092740932113311,0.0750936713411886,0.234203469050636,0.018738722148323,0.00399838381515591,80.7850793238441
"6",1.63099273871091,-0.434609976781742,0.143028120915894,0.414044693380152,0.582875666779302,0.555298968446291,0.344897036991856,0.133701517375477,-0.565523206857692,1.45524390885762,-0.590793727897441,0.243795681881619,-0.646212893339851,1.72168419439152,0.912693960465233,0.931952416194843,0.97923826195541,-0.425745722476974,1.40184064273359,0.505414016402945,1.50251399113131,0.192115788848705,0.000180357846321634,0.0393134630097417,0.620046075120835,0.342877196121087,0.304530136243975,-0.359707341439072,-0.0252970691730251,0.65879711320751,-0.00527370592079333,0.022301888966037,-0.00478122318216666,-0.00785197421818496,-0.0124927432740735,0.00865445466859856,-0.00365521283103556,-0.0713552731353546,-0.00284671961583365,-0.00114962381920999,0.256469068547175,0.191757632571711,0.361375784881422,0.107969984186484,0.0202901838160637,0.223487300644417,0.0179201981972437,0.00702934066411745,76.9836327183999
"7",0.596494228286837,-0.620457274568303,0.598233151289527,0.340079182717862,0.52056390844451,0.0560393854539278,0.470426523347988,0.156493781432066,-0.642160468503812,0.388337133589919,1.77492088790969,-0.542084411873254,-0.841190801928288,0.0569089779844222,0.814085618656715,0.950249183573709,1.42577723668945,0.787216420264993,-0.861709484536514,1.2898158043162,1.71049005969686,0.272805634289271,0.0651826453488063,0.0231317137836021,-0.064455046433652,0.151593868648134,0.655898745476233,-0.0775517152737202,-0.0013020840809859,-0.46712318958678,0.0370437805806883,0.0223816731203642,-0.0031710812058151,-0.0087165583500729,-0.0293750029634792,0.00850833608034631,-0.00286559134463879,0.0454462807306193,-0.00365868267542665,-0.00181821773929916,0.228671293295928,0.0892772771120615,0.284724219571194,0.224301799293842,0.0176193744822658,0.147991046757801,0.0384515189728533,0.0144589587839413,86.287908383106
"8",0.471324815803475,-0.130650282803673,1.56255038412527,-1.84813589122564,0.335383034656073,-0.147101025781939,1.1475686141596,0.0287490809465575,0.768822685590987,-0.228248662799401,1.06995012715167,1.46916078812335,-0.190095047077868,-0.15667879947076,1.04754749716969,0.935493954048028,0.161739862046541,1.59579485474824,-0.64562000474181,-0.341234792224155,1.10727792353195,1.00625929139996,-0.333707290384346,0.058845899856224,-0.0490717459608143,-1.21285296260832,-0.901918015094283,-0.977148863702009,-0.00672153452537048,-0.191476672234618,0.0771743284929939,0.00921913827378352,-0.00687722211639433,-0.00701262508776405,0.0214886441706162,0.0408061246284855,-0.00215965934415354,0.0163147522225446,-0.00960198896165755,-0.000322965476457918,0.242392861227669,0.174253622675609,0.914193998264619,0.274530916380289,0.0626019498472385,0.0313382564128788,0.0330776092356082,0.00301258041223304,84.4552594409282
"9",0.287343673259945,-0.622997603590145,1.30505547984143,1.00768712080631,1.32621035195472,0.630377079723262,-0.272895981601293,-0.0304319602664621,0.939854358718979,0.527251979180654,0.495004325296225,0.708512306950305,1.22670822393779,0.219623554726824,0.832566950380589,0.946106886194001,-0.0203153282367235,0.351622697962646,0.124452729693955,-0.649634898197469,-0.495789116307704,-1.03622916917692,0.237055779465413,0.0530516618925626,0.0581622755256592,-0.158510310193604,0.223923293730099,1.39677729639186,0.120432077632892,-0.478036687151802,-0.0120788919023605,0.00233894601642523,-0.00691273416209038,0.024859636716762,-0.0125140473436544,0.004598671421792,-0.0121947992136906,0.102332131796617,0.00164821519540385,0.000747940774840376,0.207493401504443,1.02377017078443,0.120878644029157,1.09245802718295,0.0679350177498857,0.44786666777439,0.0651796076640181,0.00445633688293983,71.742829302898
"10",1.05950811050177,0.157691458045383,-0.930081094923578,0.718006464340883,0.540334036678167,1.52587179152698,0.00366768831364335,0.0275328517334538,1.04820752648676,-0.886137642069486,1.07771214996535,1.08461249367556,-0.703332896875937,0.338496823744556,0.776008072911634,0.93037354231653,-0.324922419494156,1.69379817856983,0.088266184719347,-0.336313768416908,1.5746027109211,0.889301866565899,0.209169961569343,0.0588168617986544,0.0365619702478869,0.372556287290377,0.52916515806361,-0.311470033438178,0.00691713754063262,0.920540282035558,-0.00479739225321391,0.00846878839695414,-0.00784346527384223,2.23934202696547e-05,-0.00785927928052533,0.00401244595451339,-0.00340362273857713,-0.0521410960968695,0.00133642456233501,4.71473680080071e-05,0.177307702426522,0.238601983465572,0.0589318622240777,0.184023727232051,0.022619275201303,0.179563254602522,0.0430423792624973,0.00547827565261677,92.2827437747594
