"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"1",0.0965208136516613,0.366970129421828,0.726827119856089,0.958044917702491,-0.255153917425354,-0.176480952215763,-0.140718397702983,-0.0134463782675455,0.806125560161136,-0.284309240224341,-0.0263453110136712,0.583307357840747,0.505483820378922,1.48910241262162,0.791557576096742,0.96277043033902,0.120905833556662,1.15904094223858,0.660899548080193,0.0462119500875119,0.528163692064295,-0.458483909408125,0.247146961411777,0.0389391111071701,0.160445404569526,0.116829528195233,0.23681310699238,0.029232439188547,0.0831442372452491,0.0352018377244114,0.0385073561615982,0.00556634745452581,85.4931389665233
"2",0.542915643092128,-0.201692017623958,0.192185947190594,1.2467708765523,-0.269343590078396,0.0316656642654433,0.0329968050034012,0.00362005834557876,-0.103585981578526,1.74812634811423,0.941234628100452,1.08862446219352,-0.0838326564039899,0.780327973045281,0.778840845753553,0.95650574339548,0.87593303752048,-0.701921814409898,-0.111480048259974,-0.542779103816561,1.15997232919564,0.204546793117461,0.20566049625607,0.0417060935446857,0.283185207889412,0.215271674163619,0.172431995779551,0.0564792697548372,0.144304937808623,0.0300819305318835,0.0249256756431244,0.00340631470814617,94.9993261217097
"3",0.3530677524933,0.0313648959750254,0.581616433803537,1.03860122512244,0.191072026762917,0.099026770075445,0.089778490330982,-0.00825231274917101,0.788192887689177,-0.417176519860379,0.490011543884436,0.238909188896319,-0.378590501046071,0.117133781545158,0.74130891251839,0.942023574493457,0.0798728869453036,1.37129517357169,0.259585227337506,0.329256998585421,1.29810455116081,0.882204026869759,0.237091473666428,0.060562389226805,0.176090662089756,0.151055183896299,0.277771047675444,0.460674871117004,0.082608926809526,0.0164955716284775,0.0510803016106809,0.00534821907410281,89.3000400988713
"4",0.322209321836088,0.586896089736369,0.238620648470095,1.96749581224346,0.255936818707009,0.206964975075565,0.0089419275914839,0.0124518987282967,-0.271987338079818,0.554047829644491,0.1473561577483,0.334459305686916,-1.52972117294952,0.0710672062986689,0.764544173084759,0.948487596939548,1.12611232381165,0.241539735870565,0.680065903673395,0.0288778347394848,2.44610211363913,0.922340139478871,0.230347561808014,0.0473066357536632,0.145264103055861,0.200366718183889,0.180526761882323,0.17026835014327,0.0398825253079415,0.111590562121693,0.0238923950018803,0.00268234582670302,91.0876363618817
"5",0.262066421518489,-0.101223106530835,1.2021972775487,1.77948669291287,0.123507461910982,0.264595568338294,0.0212575179380296,0.0268279881903221,-0.749521938238753,1.06911712541929,-0.190427641307927,0.94197761830804,-0.630291109385601,-0.40757378751907,0.798667603993699,0.928008983453476,1.59394515420974,-0.0881228582744997,0.690906694290099,-0.560526546900339,1.58464759028976,1.36488531676865,0.191585845821521,0.0643655224072795,0.169770335352995,0.214225298781041,0.38172919340813,0.116266739613003,0.0414945867466853,0.0491051878838313,0.027256758003159,0.00378219791978115,92.1104600287752
"6",-0.347328409303288,-0.0373608865956262,1.92849520080052,1.29193795448636,-0.232669256702578,0.0474902466846652,0.127608895213235,0.039342351721028,2.03194544584262,0.736271627092354,-0.0821266901308635,0.415738750557556,0.155942271881564,0.699965944589456,0.805756353336355,0.931925537385996,-0.970717232908324,0.2563500281148,0.416763810394608,0.129069422208593,0.891973283437586,0.276034224373384,0.146968276358045,0.0558967661228031,0.257618506254829,0.19721786016853,0.160375572425348,0.179869343588464,0.0948178034040222,0.0414353802785102,0.0395015830705192,0.00517206297941357,88.1045322856509
"7",0.271794522638404,-0.785046011442239,1.25268446560711,1.16494388206972,0.193610226783149,0.302383593598863,0.106847082735141,0.00983826713457237,0.148305506077711,0.87584146531465,-0.541286802951044,0.462711374632629,-1.07936098156182,0.260586895765311,0.792180937446492,0.94750549516143,0.727172626749539,0.310097978227555,1.05819395585788,0.0964647810807107,2.01536331458308,0.64229103618326,0.167373502670614,0.0492541643767799,0.290825613792068,0.189774814087657,0.671553891547939,0.110163459546416,0.0454990112803414,0.122807755994844,0.0387522118119751,0.00279830020411292,94.181942287079
"8",0.187950834615265,-0.22754845064987,0.122214429306493,2.01795607406028,0.127317469865871,-0.0379525670388019,-0.0367543935578652,-0.0149109823829778,-0.36182705362705,-0.1397988408549,-0.326990258126216,-0.0931975037131563,-0.821055368459928,1.16020535292131,0.836689247214134,0.953180006806447,1.24439622330064,1.15506928335311,1.00069458948652,0.370548095280154,1.77462632027284,-0.169758429094807,0.161779279474009,0.0506773596469752,0.167402201754774,0.133678036804675,1.39982560135488,0.268183848405299,0.0236437390712683,0.0149658065317448,0.052626544365861,0.00554578023732118,88.646532084403
"9",-0.894180158959041,-0.756195901135263,-0.196489669142491,0.0768398440970442,0.214543215416275,-0.270517374834536,0.00164228717274407,-0.0164629578616992,1.24816044405584,1.27965618410441,1.21349137748653,0.855735932967232,-0.562006190576926,1.71212464144417,0.722963309763168,0.958831175401513,-0.0498961720862813,-0.136478745454804,-0.494096110191543,0.0255870355977784,1.47672774998181,-0.660705118771832,0.276914134215019,0.0440922738227228,0.17385783584773,0.180843593179717,1.30172123074433,0.230911959414624,0.0334677279548225,0.0813358349994004,0.0331829834262574,0.00708681435414832,79.9882860775266
"10",0.492383930711429,0.0543798560496157,-0.0744390752824585,1.23977562958342,-0.0299103943253868,0.202552260857963,0.0500239656167401,0.0106886938157721,0.0547291783856493,-1.11661831225241,0.455405879089031,0.311493984957137,0.721057429816647,-0.192781072857765,0.761261211857597,0.953466862720635,0.705748645649553,2.03567922972172,0.49076670421414,0.251120065879427,0.275792130579427,1.17077004742888,0.220906002876964,0.0429066556358074,0.356793072390614,0.199389732890054,0.361711260229421,0.10253569192465,0.104359769556007,0.0777276873148147,0.0312750342009766,0.00413207737362805,88.4338941204117
"11",0.0808607401981335,0.449224885057774,2.51709357770908,0.94554625851065,0.32225296864905,-0.237393761646609,-0.0331470120601638,0.0782462923175533,0.968160294699867,0.382909555463532,-0.103456226765146,0.648996082311008,-0.845012139545989,1.92073679429908,0.815775295646838,0.9344737224328,-0.0584321458691026,0.475294515187078,0.422262297602046,-0.0149754668618317,1.73662617158532,-0.901360538210386,0.194494089337727,0.0428309393865281,0.219010097949001,0.125472674704163,0.405804689571716,0.0323022521321902,0.0394995099551236,0.0206807104975507,0.0312768963346614,0.0192431188224126,83.5132103990734
"12",0.969268592655619,-0.752171945880436,-0.238412441743787,0.396219425603498,0.479687977637514,-0.257293602441137,-0.0245812356999008,0.0292567473105685,0.585282924089514,0.32168747540657,0.433818236012207,0.311373778467292,0.0206494190117139,1.47660550517118,0.707133622676681,0.930448990541781,0.0597415980373901,0.858768777374165,0.506751548445287,0.517921815025136,0.815662216199619,-0.418063311883299,0.305972633635316,0.0608706799098529,0.180323278327943,0.136803649377455,0.171102262736451,0.145801178469278,0.0983507029577155,0.0611339253442265,0.0355412076114275,0.00473452425177727,89.6701195269777
"13",0.910556512066358,0.595584630511334,0.0168331627716838,0.637064208824681,0.194602930044763,-0.0736465389860576,0.0272938617235212,0.0125592388594152,1.81013817322753,1.59678244197014,0.240101404398064,1.76376151341185,-0.0419413158273272,0.752287153561266,0.766821678463369,0.961961054016445,-1.16217120553049,-0.732835142041871,0.659204327509848,-1.04894972288325,0.964803313697328,0.273536728214138,0.223633861760097,0.0336063238600564,0.205943087000073,0.533808920072417,0.341860922280893,0.0665552736199476,0.0469704809098057,0.0280091711770312,0.0300071213981231,0.00731376494292973,87.7536495930066
"14",0.179758501889986,-0.647740494544507,0.677988852565271,0.560902536264835,-0.111810964820872,0.125835016865344,0.0960204455004048,-0.0105000312432234,0.165841218932993,0.243079289864653,0.920315882755153,1.23314056725891,0.462481759436633,1.39430171269669,0.932602211136834,0.933992395692195,0.727992536291628,0.881817494023357,-0.17521272681205,-0.499143000280397,0.545156874341183,-0.472549771952223,0.0267275369670745,0.0686129414425476,0.144033375769497,0.139946868326612,0.201352953491263,0.115749162198596,0.0767057548999301,0.182090646746027,0.0483445365848002,0.00793100711875431,86.2369555498135
"15",0.441987034328298,-0.331867653302107,0.782346976782113,-0.725810449117464,0.2035457586706,0.0619642079361798,-0.0518847454889013,0.0191300276321911,-0.561358607121665,0.566732437878226,0.408143924089364,0.0928583297750379,-1.01429021741426,0.723032492514285,0.806770367412971,0.933755922309978,1.4044207911023,0.505027119549522,0.169854721267701,1.04745692620914,1.95373352525878,0.25999121198,0.213473325377087,0.060431284702002,0.139454654534391,0.123995176234223,0.225645938078652,0.342216613314484,0.0676889866966794,0.054895337324106,0.072290864838528,0.00483346045478259,86.1301996618342
"16",0.0092116789539042,-0.384733022940507,1.88721086253,1.14604033131003,0.347198400658815,-0.0470000315635621,0.00948821576560986,0.00367891266438313,-0.0275950831918243,1.64001034976288,0.324828552233947,0.517306561427022,-0.862691235111962,0.747001993855793,0.745284200105054,0.959661286023963,0.96484470214745,-0.564682848879972,0.00218313117253603,0.060082548405146,1.74349887699746,0.265158325229774,0.266847605673609,0.0388267283086665,0.19029220414886,0.326727793854131,0.0648865490374045,0.0471091573069655,0.0398837495861873,0.0435017031499893,0.0452353626624295,0.00581714098387045,94.1840510075119
"17",0.434926452663955,-0.401389893240593,-2.22520273031094,0.428673435359279,0.35168681480338,0.0424992336649982,-0.026495784729486,0.0229746602911243,0.879402985729449,0.184152169944654,0.258686224916321,0.572180527421572,-0.449370232882322,0.526237801665275,0.907741115386098,0.944642296751859,-0.0647301806643303,0.877892383202571,1.40004172220943,0.184415918027429,1.31761131420958,0.472056209638026,0.102683883166628,0.0475844196424294,0.248977597703672,0.126550180218875,0.744549612112405,0.300631414152011,0.0783467854522113,0.0137040855720716,0.0585559587211022,0.00523618266132667,85.5041027803373
"18",0.216379250472993,-0.438861634109838,1.66232865827503,1.18187112268321,0.250191725234691,-0.0745617472084736,0.0129276380278124,0.0277298123742952,1.09818622297439,0.413570222950042,0.192446248326071,1.23034040510666,-0.746445994342851,1.28943774025296,0.795030404072828,0.942319999971819,-0.197080105324688,0.666013519510509,0.433614693142096,-0.688984933622995,1.67638666279953,-0.297960512241902,0.200768410942355,0.0492146214692254,0.221316037257675,0.0826154061549628,0.626986638197162,0.109836364637084,0.0848090179059993,0.0354921315444632,0.0193255721598408,0.0112253041979878,86.0040476614217
"19",1.36085621043999,-0.493042409252714,0.327941868029149,1.31024031624275,0.409751658194621,-0.0925698005232644,-0.114531135098402,-0.0396135726014167,-0.223119045194484,0.999075022518961,0.79179483768117,0.0673821432261449,-0.436967074543212,0.51020662124534,0.658298034236393,0.954878468549281,0.778121515086588,0.108065028389262,-0.10232326029461,0.480091976286058,1.30712491190915,0.53010417036605,0.397199386022963,0.0542050816158235,0.183691158457405,0.127010457220277,0.395579576493724,0.0864092013033092,0.0640467333941406,0.0339698576897283,0.0646430403068558,0.0131835691944917,83.6543777484913
"20",0.262633691118466,-0.132110666558268,0.632849129503907,-0.444744219598929,0.183959029392747,-0.0407217006147211,0.13797513884167,0.0186185427999577,0.436614632895737,1.75570238767736,0.543675517296369,1.31040725885937,-0.384995764117096,1.05263153061553,0.919934411944757,0.938257940520473,0.470735478677178,-0.741803911885408,0.174866847482376,-0.28430402384856,1.31664928663612,-0.0336403317380164,0.0262686419055034,0.0563272924101689,0.310063134352247,0.105356871815703,0.309426143764919,0.342856928173231,0.0638210248092143,0.0483290042777237,0.0543978616553723,0.00326416032518738,85.9059653423068
"21",0.331866767555804,0.66094003933358,1.26574409915748,1.10992841491029,0.126410334912645,-0.0117809269581245,-0.0258997120863493,0.00329202981324697,-0.327106345536936,0.313626123757353,-0.361414515138084,0.526004820325512,-0.642260100983015,0.638013167802865,0.81460535418737,0.956296637902091,1.179697298403,0.45135171699248,0.809605303488559,0.0632229710011343,1.60645215881022,0.38564184736649,0.208878233439053,0.04192372543464,0.11756942867776,0.16566655270103,0.175082474192779,0.080290229644346,0.0546003170967022,0.0501727137408249,0.0908126865975879,0.00307377876523081,87.7126915383042
"22",0.349091030504559,0.379529799594907,-0.0610029471617823,0.566926634015058,0.239139486783502,-0.0102007035250949,0.0752745276900597,-0.00347532757205689,0.624898002615681,1.34493368012102,0.282004922342167,0.719719388066714,-1.52687598611068,0.762358522445246,0.806506712480539,0.963924899926383,0.176368750174668,-0.536461310225231,0.634939323038874,0.109090936649756,2.45901124884693,0.243067535783749,0.164695358140636,0.0356753522040945,0.293403917061121,0.346566637886486,0.213598767418565,0.267044539202962,0.0565885167361405,0.0292155948939675,0.0216064464687258,0.00441234064142142,88.7148321109238
"23",0.250165314769994,-0.382968525797817,0.12367595500064,0.830503780582381,0.296040349439929,-0.158509637492331,0.107648476164172,0.00758775048225054,1.80990478359806,0.579547556826375,0.315386567235698,0.572416393316041,-0.887501417075259,1.97922868523811,0.801303320078856,0.942526584838106,-0.958160386622617,0.475365036866418,0.561063544796384,0.116719593866094,1.78700229094079,-0.992302812977588,0.160745473377754,0.0538263412765086,0.179202971870195,0.144550026283688,0.492906328479116,0.0874945169121788,0.0661483456626471,0.0312021916824275,0.0239848186267649,0.0060264742970551,92.7332201615634
"24",0.530757993138191,0.47310032469157,-0.140297213375093,1.03739794247355,0.26492957980788,0.250092841598821,0.0718430120324272,0.00187636887490556,0.329135362188345,1.8107493126582,-0.673561786055267,1.26109961145081,0.0163170435183095,0.300304739532069,0.726581322191103,0.949278791667534,0.447171679412246,-0.956272538993083,1.60287428815798,-0.66326937180352,0.885561897493508,0.624369483881301,0.249679028112788,0.0492251529976167,0.249042585467625,0.172374371971322,0.207721631463978,0.0634543484383517,0.0529057890362959,0.0318947546563488,0.0385712550174482,0.00284967378206626,91.1986146789932
"25",0.170656405623395,0.277659228451905,-1.86040385708836,1.4878227998025,0.0248612349965645,0.0619316666862639,0.152845109049718,-0.0180015076174795,-0.581544648543101,0.0665160366361397,0.351439682907467,0.498285912890683,-0.246039838767965,0.222888237119675,0.718749761628105,0.945451181598458,1.44625230796943,0.810879405754042,1.08908778993746,-0.00905463590492733,1.2180276599775,0.78767659688704,0.232346417348607,0.0602848141658169,0.260816265607824,0.146341785705783,0.948763665299978,0.0832226518470636,0.0695405938077748,0.0335676452503151,0.0412760649999665,0.00785595405969398,85.2426260357799
"26",1.06537136716383,1.98942701336235,-0.00234376373691521,1.17224875853452,0.169558069645978,-0.0461514719653307,-0.0270825830376087,-0.0013564102191074,0.468817035680495,1.7741476782623,1.46072457146216,-0.984071158246592,-0.53128615243464,0.675669077989587,0.845047938419445,0.964267133723366,0.164007632518338,-1.29875410936374,-0.541740933686888,1.59321494792353,1.4509624072938,0.337227857065773,0.156164023938365,0.035241202495493,0.329833950571932,0.373244548041995,0.188955405750191,0.157638997011072,0.061018641086837,0.0170436079471476,0.0180695055921978,0.00532469691833966,82.1855754140155
"27",-0.00958086466936483,-0.404586050469333,0.952735263352631,0.826495852605995,0.470607976064073,0.227109705411265,-0.11438191876565,0.0217693475116536,-0.429808675761193,0.528101325577041,1.78513678659961,1.66247929124684,-1.64144829306003,0.278869335183947,0.864904732124804,0.952471745557248,1.38790416400922,0.555070771037248,-1.17220340465669,-1.01180953508885,2.49859387484823,0.672489457875304,0.159545949294327,0.0402246959225335,0.175305032201448,0.191411212077715,0.223670539600753,0.0423378692480524,0.0389847112348582,0.048995451092528,0.0288488885786172,0.00670841361637091,89.1546954940415
"28",-0.310800805519549,0.679883291078231,-0.318255993192876,1.13822120426549,0.0106490848979933,-0.34135035520548,0.0172275252156488,0.0234656074970307,0.549098841911269,0.658407873335028,0.638610273155927,0.365497517183518,-0.131787066076023,1.10102052216065,0.785451529612498,0.938935855744716,0.514302876118217,0.14221496631275,0.512538903709415,0.19216367168291,1.1142912154926,-0.0126567329712105,0.20282250213128,0.0536911870469107,0.202199263417752,0.365819197422137,0.449369984970453,0.102610999311118,0.0553389530660584,0.0552568383768306,0.0396038583672841,0.005396636604186,89.1889775029396
"29",0.200915038729908,0.399134556559152,1.43143595667178,0.840176357198037,0.1320593516367,0.0626221024723911,0.054642489236629,0.0278296563992312,1.33390075536752,-0.682149282769464,1.23534072224019,0.224248978975609,-0.861843312687555,0.627066355263927,0.687859012589167,0.938641922878214,-0.447268403478293,1.44115050902434,-0.781258637670265,0.468328061085989,1.81161550155037,0.363269007581125,0.301207842858216,0.0524125319270993,0.150570771464942,0.630014467951517,0.0970277600543159,0.16796348930991,0.0311656306687067,0.0186346070733757,0.022867761839942,0.0048203312106515,89.4017092873996
"30",0.366855644755293,-0.508361391020209,1.69626228214817,1.57520850669107,0.203704989034042,-0.116431109059359,-0.022373492770332,0.0207292898679393,0.960045467946189,0.585691336907332,0.220199082849597,0.283610974469546,-0.786446981264714,1.00952297812083,0.746727974353555,0.942564582591493,-0.0977794662150513,0.510245002727018,0.146406170412046,0.208911839112409,1.71841882763308,0.0133115218520283,0.266817373976642,0.0509540981612456,0.216461507202878,0.107517746600112,0.12556251671381,0.200910959379814,0.0419174870036543,0.0162394811078981,0.0307455465542146,0.00357818499152062,99.8736546176174
"31",0.205849100563674,-0.677624174484534,1.21649702466774,0.93769526216607,0.0602127314931795,-0.0236206307762651,0.193501977822347,0.0215101243905286,0.173764487740517,-0.0508828700814674,1.76123907133411,1.64391325870126,0.196565077119614,1.07907647335543,0.797648844193058,0.944471846238332,0.70749698936546,1.2023762044311,-0.908025398481119,-1.00876252434037,0.768877922940292,-0.0923426179609981,0.133175510290999,0.0490178629833661,0.215118252386967,0.14206362426909,2.25731854422811,0.0542348217531623,0.133705564528322,0.0181667973791506,0.0382920892145743,0.0043697198346139,88.4301536615524
"32",-0.273963302306023,1.18286158229329,-1.21239951852452,0.848899314673441,0.210891869373074,-0.177054488898953,0.0546117531597468,0.000457339969867838,0.808598632856976,0.472471415450369,-0.0957563026303075,0.799691852610776,-0.534198589620362,0.518010793132794,0.759519280113232,0.949776770204374,0.231462290459998,0.193639501668931,1.14648630958327,-0.165231750112723,1.45928557803148,0.543522927399609,0.218484655428347,0.0496648833622191,0.279252783171334,0.326640028348488,3.23913005014943,0.093339556778906,0.0421635800729308,0.0349463242986746,0.0237960684627823,0.00336385219884599,86.7853777738731
