,KS,CVM,Wilcoxon
S1-S2,0.4284,0.5908,0.0454
S1-S3,0.6696,0.6165,0.9833
S1-S4,0.5043,0.3918,0.5915
S2-S3,0.4284,0.395,0.1647
S2-S4,0.8646,0.6011,0.8905
S3-S4,0.9875,0.9221,0.0652
