dist,S1-size50,S2-size50,S3-size50,S4-size50,S1-size80,S2-size80,S3-size80,S4-size80,S1-size95,S2-size95,S3-size95,S4-size95
5K,28.4,28.204,28.266,28.259,54.488,53.95,54.284,54.262,84.415,84.026,84.703,84.382
10K,24.839,24.611,23.561,23.42,47.663,47.187,45.013,44.839,73.739,73.177,69.624,69.529
15K,22.247,22.046,19.998,19.772,42.422,42.015,38.178,37.865,65.54,64.973,58.934,58.195
20K,19.557,19.256,17.285,17.078,37.313,36.892,32.772,32.581,57.558,56.793,50.436,50.036
25K,16.27,15.979,13.578,13.369,30.989,30.506,25.858,25.526,47.645,46.897,39.525,39.169
30K,12.643,12.472,9.972,9.958,24.123,23.762,18.981,18.914,36.921,36.362,29.037,29.05
35K,7.898,7.779,5.881,5.905,15.011,14.764,11.195,11.217,22.95,22.576,17.083,17.092
40K,2.102,2.047,1.584,1.564,3.992,3.881,2.999,2.973,6.082,5.93,4.586,4.539
