dist,S1-size50,S2-size50,S3-size50,S4-size50,S1-size80,S2-size80,S3-size80,S4-size80,S1-size95,S2-size95,S3-size95,S4-size95
5K,33.526,33.22,33.45,33.175,64.45,63.957,64.371,63.82,100.416,99.364,100.498,99.554
10K,28.71,28.496,26.955,26.889,55.135,54.648,51.874,51.359,85.657,84.785,79.743,79.369
15K,25.491,25.21,22.239,22.063,48.477,47.954,42.373,42.166,75.102,74.079,65.324,64.853
20K,22.029,21.671,18.733,18.657,41.892,41.43,35.9,35.525,64.437,63.746,54.847,54.818
25K,18.003,17.62,14.729,14.499,34.358,33.774,28.051,27.561,52.896,51.971,42.819,42.237
30K,13.881,13.59,10.846,10.648,26.458,25.932,20.477,20.249,40.556,39.741,31.429,31.013
35K,8.562,8.382,6.314,6.263,16.214,15.922,11.931,11.891,24.766,24.331,18.232,18.264
40K,2.257,2.181,1.699,1.676,4.288,4.159,3.222,3.186,6.558,6.349,4.908,4.858
