dist,S1-in50,S2-in50,S3-in50,S4-in50,S1-in80,S2-in80,S3-in80,S4-in80,S1-in95,S2-in95,S3-in95,S4-in95
5K,0.45,0.48,0.48,0.47,0.71,0.72,0.71,0.71,0.86,0.86,0.88,0.87
10K,0.47,0.48,0.5,0.44,0.71,0.73,0.75,0.74,0.88,0.87,0.89,0.91
15K,0.49,0.47,0.49,0.47,0.72,0.75,0.7,0.73,0.89,0.91,0.91,0.92
20K,0.51,0.49,0.52,0.52,0.72,0.74,0.82,0.82,0.91,0.93,0.91,0.93
25K,0.51,0.52,0.57,0.61,0.76,0.76,0.84,0.85,0.92,0.94,0.92,0.92
30K,0.54,0.54,0.59,0.58,0.78,0.82,0.85,0.86,0.93,0.95,0.95,0.95
35K,0.58,0.59,0.64,0.62,0.84,0.87,0.88,0.89,0.96,0.96,0.97,0.97
40K,0.52,0.54,0.56,0.58,0.8,0.8,0.86,0.84,0.95,0.94,0.94,0.95
