dist,S1-in50,S2-in50,S3-in50,S4-in50,S1-in80,S2-in80,S3-in80,S4-in80,S1-in95,S2-in95,S3-in95,S4-in95
5K,0.517,0.53,0.5,0.52,0.763,0.757,0.763,0.763,0.93,0.933,0.933,0.93
10K,0.513,0.503,0.503,0.48,0.773,0.777,0.78,0.793,0.937,0.933,0.94,0.95
15K,0.503,0.49,0.523,0.497,0.763,0.79,0.783,0.79,0.94,0.95,0.947,0.953
20K,0.51,0.507,0.573,0.547,0.793,0.803,0.877,0.877,0.947,0.96,0.95,0.957
25K,0.533,0.563,0.59,0.6,0.817,0.817,0.873,0.877,0.957,0.957,0.953,0.95
30K,0.563,0.597,0.64,0.617,0.85,0.883,0.893,0.893,0.97,0.973,0.973,0.97
35K,0.623,0.63,0.673,0.677,0.893,0.897,0.89,0.9,0.973,0.973,0.967,0.97
40K,0.563,0.563,0.62,0.623,0.863,0.853,0.873,0.87,0.967,0.967,0.953,0.97
