dist,S1-in50,S2-in50,S3-in50,S4-in50,S1-in80,S2-in80,S3-in80,S4-in80,S1-in95,S2-in95,S3-in95,S4-in95
5K,0.46,0.47,0.44,0.46,0.76,0.74,0.76,0.73,0.94,0.95,0.95,0.96
10K,0.43,0.42,0.45,0.42,0.78,0.75,0.8,0.82,0.98,0.99,0.99,0.99
15K,0.43,0.42,0.48,0.52,0.77,0.79,0.83,0.82,0.99,0.97,0.97,0.97
20K,0.47,0.43,0.58,0.57,0.8,0.82,0.92,0.91,0.99,1.0,0.99,0.98
25K,0.54,0.53,0.6,0.61,0.86,0.83,0.91,0.91,0.98,0.98,0.97,0.96
30K,0.54,0.6,0.7,0.72,0.87,0.85,0.94,0.94,0.98,0.99,0.98,0.98
35K,0.56,0.57,0.73,0.71,0.9,0.9,0.93,0.93,0.99,0.99,0.98,0.98
40K,0.53,0.52,0.72,0.7,0.87,0.85,0.92,0.92,0.97,0.97,0.96,0.97
