dist,S1-size50,S2-size50,S3-size50,S4-size50,S1-size80,S2-size80,S3-size80,S4-size80,S1-size95,S2-size95,S3-size95,S4-size95
5K,31.414,30.996,31.273,31.126,59.927,59.738,60.044,59.69,93.507,93.087,93.403,93.146
10K,27.842,27.569,26.492,26.17,53.047,52.786,50.89,50.419,82.888,81.813,79.215,78.393
15K,25.255,24.697,22.749,22.79,47.942,47.357,43.823,43.383,74.517,73.351,67.624,66.872
20K,22.241,21.99,19.756,19.302,42.539,41.922,37.539,37.034,65.75,65.337,58.094,57.069
25K,18.505,18.299,15.436,15.266,35.414,34.786,29.163,29.111,54.554,53.478,44.631,44.817
30K,14.379,14.098,11.371,11.275,27.517,26.665,21.578,21.37,42.05,40.984,32.96,32.611
35K,8.976,8.833,6.704,6.692,17.003,16.871,12.773,12.722,26.02,25.881,19.536,19.571
40K,2.384,2.315,1.805,1.785,4.533,4.411,3.435,3.387,6.937,6.728,5.226,5.162
