,KS,CVM,Wilcoxon
S1-S2,0.9972,0.9858,0.6175
S1-S3,<0.0001,<0.0001,<0.0001
S1-S4,<0.0001,<0.0001,<0.0001
S2-S3,<0.0001,<0.0001,<0.0001
S2-S4,<0.0001,<0.0001,<0.0001
S3-S4,0.999,1.0,0.4129
