,KS,CVM,Wilcoxon
S1-S2,0.9779,0.9791,<0.0001
S1-S3,<0.0001,0.0002,<0.0001
S1-S4,<0.0001,0.0001,<0.0001
S2-S3,0.0001,0.0006,<0.0001
S2-S4,0.0001,0.0003,<0.0001
S3-S4,0.9779,0.9967,<0.0001
